"","x"
"193","@allalinhorn @sllopisortega @parras22 @marthikacl @86AlexRojo claro que no entras en proporciones, porque no te interesa. Cuando os tenéis que ir a otros países teniendo aquí una denuncia cada 7 horas por violación, y con la OMS diciendo que la VG tiene dimensiones pandémicas, demostráis de qué palo vais."
"194","@sllopisortega @parras22 @marthikacl @86AlexRojo @allalinhorn ellos saben perfectamente que el machismo mata mujeres, no hombres, viola a mujer, no a hombres, etc. Si el daño fuera el mismo ellos harían cola para ser feministas. No son tontos, no los tratemos con condescendencia."
"195","@sllopisortega @parras22 @marthikacl @86AlexRojo @allalinhorn muchos amigos presionados en la cama por mujeres, muchos amigos en el calabozo siendo inocentes, amigos para todo tipo de reclamación feminista."
"196","@Joni_punto @Cascabel21 @GataAmelia porque te culpas a ti? hay que ser mujer para entender esto?"
"197","Esto también pasa https://t.co/CrecNd2c45"
"198","Lo de @ElHuffPost es de juzgado de guardia. Clickbait hasta con las noticias más trágicas. Sinvergüenzas. https://t.co/q7GbHm5lNg"
"199","Luego denuncias una cuenta que se dedica a mencionar a feministas con fotos de sus huevos y te responden que es libertad de expresión. https://t.co/iMn3dU1zoq"
"200","https://t.co/gY4ZTHxJZs https://t.co/bGHZ6xAVh8"
"201","@08181 jajajajaj"
"202","@TrollHonest @Bastadesexismo @pixeladomental @generoenaccion @12causasfeminis @WikiSexismo @elcorteingles jajajajajaja, gran fuente, amigo."
"203","@troller___ sí, varios, busca algo como ""barbijaputa aliados"" o así"
"204","@particulatomica está igual que satiriasis, para tu información."
"205","@JuanjeStark @ThomasMlerkh @gpJustwalk tú mismo lo has dicho, el referente a los hombres ni se conoce, porque cuanto más follas mejor, nadie problematiza eso."
"206","@anagorria https://t.co/mPu3qPLD4O"
"207","@JuanjeStark @gpJustwalk sí la conocía, pero me parecía más justo buscar ninfómano por eso mismo. Pero reconócelo, no tenéis esas dudas."
"208","@JuanjeStark @ThomasMlerkh @gpJustwalk https://t.co/mPu3qPLD4O"
"209","@Caldodegalets @gpJustwalk https://t.co/mPu3qPLD4O"
"210","@JuanjeStark @gpJustwalk  https://t.co/UrSOdxyhjh"
"211","Frígida es no apetecerte. Impotente es no poder directamente. Que haya que explicar esto... https://t.co/No1VDyt5tr"
"212","@RatasyPalancas frigidez es no apetecerte, impotencia es no poder. No es lo mismo. Además impotencia se usa para muchas más cosas."
"213","Ninfómana vs ninfómano https://t.co/m9i6H2c9lH"
"214","@junnekn jajajajaj"
"215","Estoy escribiendo un artículo sobre la presión de las mujeres para mantener relaciones.
Comparativa de las búsquedas ""frígida vs frígido"". https://t.co/fOAVdXoHeM"
"216","Jajajajja https://t.co/lE9jSueaoj"
"217","@lavaIndependie1 obviamente eres un troll."
"218","@lavaIndependie1 @bip_jaume te gustaría, eh?"
"219","@femilinda_ jajajajajjajajaj me he tapado la cara y todo. Qué vergüenza ajena, por  favor, qué mal."
"220","@7592Alvaro @_Miss_Trash jajajajajaj"
"221","Cuéntanos más, Álava Independiente, me tienes enganchada. https://t.co/yxumkSdF65"
"222","@dando_cana ahora ve a manifestarte, que esto es fascista, anticonstitucional y todo eso."
"223","@dando_cana tú eres tonto con balcones a la calle. https://t.co/UVK2sgLhcd"
"224","Es @TwitterEspana. Y sí, por eso, porque eran bragas para la regla. https://t.co/LPcxIUcBwF"
"225","@annaprats @wwonderwitch tal cual. No conozco a ninguna radfem que no haya intentado abrazar el transfem mil veces, y pensar mientras: seguro que esto me parece mal porque soy tránsfoba, a ver si leyendo más... hasta que lees sobre radfem, y todo se aclara."
"226","@DanielRoca gracias &lt;3"
"227","@dando_cana Díselo al código penal. Sabes lo que es un agravante de odio? Búscalo, que para ser tan ignorante vas de muy sobrado."
"228","@Dodger_san jajajaj"
"229","Puede que haya sido el tuit más loco que he recibido en años. Y eso es muchísimo decir."
"230","@Di_Lodovico estoy de acuerdo"
"231","Si afina un poco más pide la muerte por garrote vil a las clase obrera."
"232","No me podía creer que fuera en serio, pero sí. https://t.co/zsBaTUjLLB"
"233","@EsElVecino @PacoFran7 @romanial_flor @_pvarual_ @RAEinforma @CARLOS990922 un consejo que a lo mejor te podría haber dado antes es que no te quemes con los que no quieren entender, puedes hacer como yo y bloquear y ser feliz. XD"
"234","Pero WTF?? Con qué argumento te hace Twitter quitarle las gafas moradas a tu avatar?? https://t.co/v8GAy3s62w"
"235","@Migueturrillo que te pires, cuñao."
"236","@Como1VasoDeTubo @IPG24 y te creerás parte de la solución y todo."
"237","@Como1VasoDeTubo @IPG24 te parece normal y lógico que la gente haga esa lectura? Y también ponerte chulito cuando se te hace ver?"
"238","@Como1VasoDeTubo @IPG24 Peor, está celebrando. ¿Por qué pones a un hombre de celebración como respuesta a ese tuit, Fernando? Cuéntanos."
"239","@Jalecito https://t.co/O2GWprdnLu"
"240","@Como1VasoDeTubo @IPG24 te parece gracioso o algo?"
"241","Esto es lo último que veo publicado sobre las temporeras de la fresa en Huelva. Hace seis días. ¿Hay algo más reciente?
https://t.co/vcVxkIVySS"
"242","@JoseComplize @LargoTachenko madre mía, no voy a ni a contestar"
"243","Teleoperadoras de las telecos españolas levantan la voz de alarma: ""cada vez hay más aparentes maltratadores que llaman a los 'call centers' para espiar y controlar a sus víctimas""
https://t.co/gDG1IrGMbc
Quitaría lo de ""aparentes"""
"244","@LargoTachenko perdona? el oprimido no pudiendo hacer chistes de su opresor? será broma, vamos. Y xenofobia no es lo mismo racismo."
